Series Name,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP (current US$),India,4.68E+11,4.85E+11,5.15E+11,6.08E+11,7.09E+11,8.20E+11,9.40E+11,1.22E+12,1.20E+12,1.34E+12,1.68E+12,1.82E+12,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.29E+12,2.65E+12,2.70E+12,2.84E+12,2.67E+12
GDP (current US$),Indonesia,1.65E+11,1.60E+11,1.96E+11,2.35E+11,2.57E+11,2.86E+11,3.65E+11,4.32E+11,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12
GDP (current US$),"Iran, Islamic Rep.",1.10E+11,1.27E+11,1.29E+11,1.54E+11,1.90E+11,2.26E+11,2.66E+11,3.50E+11,4.12E+11,4.16E+11,4.87E+11,6.26E+11,6.44E+11,4.93E+11,4.60E+11,4.08E+11,4.58E+11,4.87E+11,3.30E+11,2.84E+11,2.40E+11
GDP (current US$),Iraq,48364250944,36176430129,32928454672,21921569479,36627901762,49954890353,65140147197,88837055195,1.32E+11,1.12E+11,1.39E+11,1.86E+11,2.18E+11,2.35E+11,2.28E+11,1.67E+11,1.67E+11,1.87E+11,2.27E+11,2.34E+11,1.81E+11
GDP (current US$),Ireland,1.00E+11,1.09E+11,1.29E+11,1.65E+11,1.94E+11,2.12E+11,2.32E+11,2.70E+11,2.75E+11,2.36E+11,2.22E+11,2.39E+11,2.25E+11,2.38E+11,2.60E+11,2.92E+11,2.99E+11,3.37E+11,3.87E+11,3.99E+11,4.29E+11
GDP (current US$),Isle of Man,1563667800,1659131244,1947332922,2328658228,2822358473,3032409189,3422735302,4466353635,5928788781,5486918995,5920366628,6565668781,6690228489,7001180246,7708459145,7084795708,6846373277,6979791187,7491654051,7314966839,6684229269
GDP (current US$),Israel,1.36E+11,1.35E+11,1.25E+11,1.31E+11,1.40E+11,1.47E+11,1.59E+11,1.84E+11,2.21E+11,2.12E+11,2.38E+11,2.67E+11,2.62E+11,2.98E+11,3.14E+11,3.03E+11,3.22E+11,3.58E+11,3.77E+11,4.02E+11,4.13E+11
GDP (current US$),Italy,1.15E+12,1.17E+12,1.28E+12,1.58E+12,1.81E+12,1.86E+12,1.95E+12,2.21E+12,2.41E+12,2.20E+12,2.14E+12,2.29E+12,2.09E+12,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12,2.09E+12,2.01E+12,1.90E+12
GDP (current US$),Jamaica,9005064475,9194727831,9719009495,9430234811,10174664854,11243865778,11930179090,12799600047,13709401520,12120458115,13220549908,14444661522,14807086556,14264205153,13899217722,14188936958,14077096714,14808985171,15730792836,15830766571,13812421803
GDP (current US$),Japan,4.97E+12,4.37E+12,4.18E+12,4.52E+12,4.89E+12,4.83E+12,4.60E+12,4.58E+12,5.11E+12,5.29E+12,5.76E+12,6.23E+12,6.27E+12,5.21E+12,4.90E+12,4.44E+12,5.00E+12,4.93E+12,5.04E+12,5.12E+12,5.05E+12
GDP (current US$),Jordan,8460789845,8975814653,9582510578,10195627645,11411706629,12588998590,15056981664,17110437236,22658715989,24537876056,27133804225,29524149155,31634561690,34454440141,36847643521,38587017887,39892551127,41608435915,43370860704,44502816901,43700383099
GDP (current US$),Kazakhstan,18291990662,22152689180,24636598527,30833692900,43151647003,57123671734,81003864630,1.05E+11,1.33E+11,1.15E+11,1.48E+11,1.93E+11,2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11,1.67E+11,1.79E+11,1.82E+11,1.71E+11
GDP (current US$),Kenya,12705350098,12986007426,13147736899,14904517650,16095337094,18737895513,25825512284,31958195182,35895153328,42347217913,45405615064,46869473151,56396704672,61671440408,68285796514,70120446897,74815144164,82036510877,92202979985,1.00E+11,1.01E+11
GDP (current US$),Kiribati,67253121.62,63099901.63,72197909.01,90231037.53,102370652.9,112136256.3,110237181,132674851.4,141045213,132421039.3,155305602.2,180672702.3,189629954.8,184543120.9,177868200,170292316.8,178507954.9,188540710.2,196501525.7,175181629.3,177553274.6
GDP (current US$),"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,
GDP (current US$),"Korea, Rep.",5.76E+11,5.48E+11,6.27E+11,7.03E+11,7.93E+11,9.35E+11,1.05E+12,1.17E+12,1.05E+12,9.44E+11,1.14E+12,1.25E+12,1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.50E+12,1.62E+12,1.73E+12,1.65E+12,1.64E+12
GDP (current US$),Kosovo,,,,,,,,,5181776769,5015894693,5343950556,6341613610,6163484245,6735328610,7074394735,6295848423,6682677290,7180764703,7878759715,7899737577,7717145218
